question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
"We have a telescope of length 96cm. What will be the focal length of its length",,moderate,"We know that a telescope consist of two convex lens and the focal length of any convex lens is always positive so the right option is 90cm, 6cm",,35,"100cm ,-4cm    "," -80cm, -60cm","90cm, -6cm    "," 90cm, 6cm",,,,,4,,,,,,,
"If the object is placed away from 2F of a converging lens, then the image formed will be",,moderate,"Image will not be formed if the object is at F and real and enlarged image will be formed if the object placed even nearer than F. Image formed will be real and inverted if the object is placed away from 2F. When an object is placed between F and 2F from the optical center of a concave lens, it forms a virtual, erect and magnified image",,35,real and erect,virtual and erect, real and inverted , virtual,,,,,3,,,,,,,
Who invented photo phone?,,easy,"Graham Bell invented photo phone.
Maxwell's equations are a set of coupled partial differential equations that helps to define electromagnetic induction.
Galileo invented telescope
Torricelli come up with the equation to find the speed of fluid.",,35,Graham Bell   ,Galileo,Torricelli,Maxwell,,,,,1,,,,,,,
Resolving power of simple microscope is related as,,easy,"We know that
\[
\mathrm{R}=\mathrm{D} / 1.22 \lambda
\]
$\mathrm{R}$ is the resolution, $\mathrm{D}$ is the diameter, $\lambda$ is the wavelength
$\mathrm{R} \propto 1 / \lambda$",,35,\mathrm{R} \propto 1/ \lambda,\mathrm{R} \propto \lambda,\mathrm{R} \propto \lambda^{2},\mathrm{R} \propto 1 / \lambda^{2},,,,,1,,,,,,,
"If the wavelength of two light is $\lambda=4000$ A and $\lambda=5000$ A is used in optical instrument.
What will the ratio of their resolving power",,difficult,"We know that
\[
\mathrm{R}=\mathrm{D} / 1.22 \lambda
\]
$\mathrm{R}$ is the resolution, $\mathrm{D}$ is the diameter, $\lambda$ is the wavelength
$\mathrm{R} \propto 1 / \lambda$
\begin{aligned}
&\mathrm{R} \propto 1 / \lambda\\
&\mathrm{R}=\mathrm{constant} / \lambda\\
&\mathrm{R} 1 / \mathrm{R} 2=\lambda 2 / \lambda 1\\
&\lambda 2=5000 \mathrm{A}\\
&\lambda 1=4000 \mathrm{A}\\
&\lambda 2 / \lambda 1=5 / 4\\
&\mathrm{R} 1 / \mathrm{R} 2=5 / 4
\end{aligned}",,35,16:25,5:4,4:5,9:1,,,,,2,,,,,,,
The point where the light appears to converge after passing from converging lens is called,,easy,A focus is the point where light converges at a single point after passing through convex lens.,,35,Focus,Centre of curvature,Optical Center,Aperture,,,,,1,,,,,,,
Light passing through multimode graded index fiber. This is due to,,moderate,Multimode graded index has a core of relatively high refractive index and refractive index decreases gradually from middle to the outer surface of the fiber. There is no noticeable boundary between core and cladding. The mode of transmission is therefore continuous refraction and total internal reflection.,,35,continuous refraction,total internal reflection,both continuous refraction and total internal reflection," diffraction",,,,,3,,,,,,,
A telescope used to see the moon. The length of telescope is 110cm and magnification power is 10. The focal length of the objective lens is,,difficult,"We know that
Length of telescope $=\mathrm{f}_{\mathrm{o}}+\mathrm{f}_{\mathrm{e}}$
$\mathrm{f}_{\mathrm{o}}$ is the focal length of objective lens $\mathrm{f}_{\mathrm{e}}$ is the focal length of eyepiece
Also $\mathrm{M}=\mathrm{f}_\circ / \mathrm{f}_{\mathrm{e}}$
\[
\begin{array}{l}
\mathrm{f}_{0}+\mathrm{f}_{\mathrm{e}}=110 \mathrm{cm} \\
10=\mathrm{f}_{\mathrm{o}} / \mathrm{f}_{\mathrm{e}}
\end{array}
\]
$f_{0}=10 \mathrm{f}_{\mathrm{e}}$
\[
110=10 \mathrm{f}_{\mathrm{e}}+\mathrm{f}_{\mathrm{e}}
\]
\[
110 / 11=f_{\mathrm{e}}
\]
$10=f_{\mathrm{e}}$
\[
100 \mathrm{cm}=\mathrm{f}_\circ
\]",,35,110cm,10cm,80cm,100cm,,,,,4,,,,,,,
 Which of  the following is true for astronomical telescope,,moderate,"We know that
\[
\text { Length of telescope }=\mathrm{f}_\circ+\mathrm{f}_{\mathrm{e}}
\]
$\mathrm{f}_{\mathrm{o}}$ is the focal length of objective lens, $\mathrm{f}_{\mathrm{e}}$ is the focal length of eyepiece
\[
\mathrm{Also} \mathrm{M}=\mathrm{f}_{\mathrm{o}} / \mathrm{f}_{\mathrm{e}}
\]",,35,f_\circ-f_{e},f_\circ+f_{e},f_\circ/f_{e},\mathrm{f}_\circ \mathrm{f}_{\mathrm{e}} / \mathrm{f}_{\mathrm{o}}+\mathrm{f}_{\mathrm{e}},,,,,2,,,,,,,
"The final image obtained by compound microscope is",,moderate,"The image formed by first convex lens is virtual and inverted and image formed by second lens is also virtual and inverted.
",,35, real and inverted , virtual and inverted,real and erect,"virtual and real",,,,,2,,,,,,,
"A convex lens of focal length f1 and concave length of focal length of f2 to view the image. What will be their combined focal length
",,difficult,"\begin{array}{l}
\mathrm{F}=\text { focal length of the combination } \\
\mathrm{F}_{1}=\text { focal length of convex lens } \\
\mathrm{F}_{2}=\text { focal length of concave lens } \\
1 / \mathrm{F}=1 / \mathrm{F}_{1}+1 / \mathrm{F}_{2} \\
\mathrm{F}=\mathrm{F}_{1} \mathrm{F}_{2} /\left(\mathrm{F}_{1}+\mathrm{F}_{2}\right)
\end{array}",,35,\mathrm{f}_{1}+\mathrm{f}_{2},f_{1}-f_{2},f_{1} f_{2} /\left(f_{1}+f_{2}\right),-f_{1} f_{2} /\left(f_{1}-f_{2}\right),,,,,3,,,,,,,
 Two convex having same focal length of f are used in object image. The resultant focal length will be,,difficult,"$\mathrm{F}=$ focal length of the combination
$1 / \mathrm{F}=1 / \mathrm{F}_{1}+1 / \mathrm{F}_{2}$
Also,
$\mathrm{F}=\mathrm{F}_{1} \mathrm{F}_{2} /\left(\mathrm{F}_{1}+\mathrm{F}_{2}\right)$
$\mathrm{F}_{1}=\mathrm{F}_{2}=5(\text { say })$
$\mathrm{F}=(5 \mathrm{x} 5) /(5+5)$
$\mathrm{F}=25 / 10=2.5$
$\mathrm{F}=\mathrm{F}_{1} / 2$",,35,0,f,f/2,2f,,,,,3,,,,,,,
The light is travelling in the medium having refractive index of 1.5. What will be the speed of light,,moderate,"We know that
\[
\mathrm{n}=\text { Refractive index }=\mathrm{c} / \mathrm{v}
\]
$\mathrm{v}=$ speed of light in medium
$c=$ speed of light in air
\[
\begin{array}{l}
v=c / n=\left(3 \times 10^{8}\right) /(1.5) \\
v=2 \times 10^{8} \mathrm{m} / \mathrm{s}
\end{array}
\]",,35,2 \times 10^{8} \mathrm{m} / \mathrm{s},0.5 \times 10^{8} \mathrm{m} / \mathrm{s},3 \times 10^{8} \mathrm{m} / \mathrm{s},1.5 \times 10^{8} \mathrm{m} / \mathrm{s},,,,,1,,,,,,,
" The effect on least distance of distinct vision of human eye with increase in age",,easy,With the increase in age it become difficult to distinguish between two object placed far apart. This is due to near sightedness or farsightedness.,,35,decreases,Inceases,remain same,infinite,,,,,2,,,,,,,
In order to increase the magnitude power of a compound microscope we have to,,moderate,"We know that
Power = P = 1/focal length
So by decreasing the focal length of both objective and eye lens, the power will increase.",,35, Increase the focal length of objective lens and decrease the focal length of eye lens,Increase the focal length of both objective lens and eye lens,Decrease the focal length of both objective lens and eye lens,"Decrease the focal length of objective lens and increase the focal length of eye lens",,,,,3,,,,,,,
Magnification of astronomical telescope is given by,,moderate,"We know that
Length of telescope $=\mathrm{f}_\circ+\mathrm{f}_{\mathrm{e}}$
$f_\circ$ is the focal length of objective lens $f_{e}$ is the focal length of eyepiece
\[
\text { Also } \mathrm{M}=\mathrm{f}_{\mathrm{o}} / \mathrm{f}_{\mathrm{e}}
\]",,35,f_\circ+f_{e},f_\circ-f_{e},f_\circ/f_{e},\mathrm{f}_{e} / \mathrm{f}_\circ,,,,,3,,,,,,,
If the red light used in microscope is replaced by blue light. What will happen to the magnification of microscope,,difficult,"The magnification of microscope does not depends on light color however the resolution
does depends on the light color by the following relation
\[
\mathrm{R}=\mathrm{D} / 1.22 \lambda
\]",,35,Inceases,decreases,remain same,becomes half,,,,,3,,,,,,,
"A spectrometer is used to find",,easy,"A spectrometer is a device used to find wavelength of different color, refractive index of the prism",,35,wavelength of light,Refractive index of the prism , wavelength of different color,"All of these",,,,,4,,,,,,,
The convex lens of focal length f is cut into two identical half. What will be the focal length of each half,,moderate,"$\mathrm{F}=$ focal length of the combination
\[
\begin{array}{l}
\mathrm{F}_{1}=\text { focal length of lens } 1 \\
\mathrm{F}_{2}=\text { focal length of lens } 2
\end{array}
\]
Formula to calculate equivalent focal length of convex lens
\[
1 / \mathrm{F}=1 / \mathrm{F}_{1}+1 / \mathrm{F}_{2}
\]
\[
\begin{array}{l}
\mathrm{F}=\mathrm{F}_{1} \mathrm{F}_{2} /\left(\mathrm{F}_{1}+\mathrm{F}_{2}\right) \\
\mathrm{F}_{1}=\mathrm{F}_{2}
\end{array}
\]\begin{array}{l}
\mathrm{F}=\mathrm{F}_{1} \mathrm{F}_{1} /\left(\mathrm{F}_{1}+\mathrm{F}_{1}\right) \\
\mathrm{F}_{1}=2 \mathrm{F}
\end{array}",,35,focal length in meter,f/2,2f,3f/2,,,,,3,,,,,,,
"A lens having thicker center and thinner boundaries is known as",,easy,Convex lens have thicker center and thinner boundaries and concave lens have thinner edge and thicker boundaries,,35,concave lens,convex lens,Plano convex lens,Plano concave lens,,,,,2,,,,,,,
"The electrical signal is converted into light signal which also carry same information. The light impulse in optical fiber represents",,easy,the light impulse carries some information which is then decoded in the form of 0 and 1. The light impulse represents 1,,35, zero ,one,Both Zero and one,Either zero or one,,,,,2,,,,,,,
"There is no noticeable boundary between core and cladding in
",,moderate,"Multimode graded index has a core of relatively high refractive index and refractive index decreases gradually from middle to the outer surface of the fiber. There is no noticeable boundary between core and cladding. The mode of transmission is therefore continuous refraction and total internal reflection.
",,35, multi mode step fiber,"multi mode graded index fiber",single mode step index fiber ,"all types of fiber",,,,,2,,,,,,,
" Which of the following color has the maximum angle of deviation in prism",,moderate,"Angle of deviation in prism depends on the wavelength.  Greater the wavelength greater will be the deviation. Since blue has greater wavelength, so it deviates more.",,35,Red,Orange,Green,Blue,,,,,4,,,,,,,
" In transmission lines of optical fiber the repeaters are separated through a distance of ________ km in newer system",,easy,Information,,35,300km,200km,100km,20km,,,,,3,,,,,,,
 The correct formula to calculate the speed of light in the lights of Michelson,,easy,"According to Michelson
\[
1 / 8 f=2 d / c
\]
c is the speed of light $\mathrm{f}$ is the frequency, $\mathrm{d}$ is the distance
\[
c=16 \mathrm{fd}
\]",,35,c=4fd,c=8fd,c=16fd,c=fd,,,,,3,,,,,,,
The instrument used by Michelson to calculate the speed of light,,moderate,"Michelson makes its own instrument to the speed of light. In this experiment the speed of light was determined by measuring the time it took to cover a round trip between two mountains.",,35,spectrometer,galvanometer,interferometer   ,None,,,,,4,,,,,,,
" The central image formed in compound microscope is",,moderate,Image formed is virtual and inverted and enlarged than object because the object is placed beyond F of convex lens,,35," virtual, erect and magnified"," inverted, virtual and larger than object"," virtual, erect and magnified","erect, virtual and smaller than final image",,,,,2,,,,,,,
 The purpose of collimater in spectrometer is,,easy, The purpose of collimater is to produce parallel beam of light     ,,35,to produce parallel beam of light, to filter the light wave, to make them mutually perpendicular ," no function",,,,,1,,,,,,,
"In Michelson’s experiment the angle subtended by a side of the eight sided mirror",,easy,"Michelson makes its own instrument to the speed of light. In this experiment the speed of light was determined by measuring the time it took to cover a round trip between two mountains.",,35,\pi / 4,\pi ,3\pi / 2,2\pi ,,,,,1,,,,,,,
 Power of lens is equal to,,moderate,"We know that
Power = P = 1/focal length 
Unit = Diapter",,35,focal length in meter, Reciprocal of focal length,Double of focal length ,half the focal length,,,,,2,,,,,,,
" A compound microscope having focal length of objective lens and eye piece is 4cm and 10cm respectively. What will be the magnification of an object placed 5cm from the objective lens so that the final image formed is at the least distance of distinct vision (d=20cm)",,difficult,"We know that
\[
\mathrm{M}=\mathrm{q} / \mathrm{p}\left(1+\mathrm{d} / \mathrm{f}_{\mathrm{e}}\right)
\]
$\mathrm{q}$ is the size of image, $\mathrm{p}$ is the size of object, $\mathrm{d}$ is the distance of object, fe is the focal
length of eyepiece
\[
\begin{array}{l}
\mathrm{M}=\mathrm{d} / \mathrm{p}\left(1+\mathrm{d} / \mathrm{f}_\circ\right) \\
\mathrm{M}=(20 / 10)(1+20 / 4) \\
\mathrm{M}=12
\end{array}
\]",,35,14,12,11,13,,,,,2,,,,,,,
A well cut diamond appears bright. This is due to,,easy,"A well cut diamond appears bright because of total internal reflection. Total internal reflection is the phenomenon in which light reflects backs into its own medium. Due to the total internal reflection, light undergoes multiple reflections in the diamond.",,35, it emits bright light ,Total internal reflection, Scattering of light, None of these,,,,,2,,,,,,,
"Image formed by a simple microscope is",,easy,Simple microscope consists of one convex lens. Image formed by simple microscope is real and enlarged.,,35,real and enlarged,"virtual and diminished ", real and diminished,"virtual and enlarged",,,,,1,,,,,,,
"A lens which converges a parallel beam of light to a single point is ",,easy,Convex lens have thicker center and thinner boundaries and converges a parallel beam of light at a single point.,,35,convex lens,concave lens,convexo concave lens,Plano concave lens,,,,,1,,,,,,,
"The phenomenon of total internal reflection take place when incident light travel from",,moderate,Total internal reflection takes place from denser to rare boundary and then reflects back to denser boundary. Glass is denser than water and air so total internal reflection takes place.,,35,glass to air boundary,glass to water boundary,air to glass boundary,Both A and B,,,,,4,,,,,,,
The center of lens through which the ray of light does not change its direction,,easy, the center of lens is known as optical center,,35,optical center,center of curvature,Focus,"Aperture",,,,,1,,,,,,,
The color of light have maximum speed in glass is,,difficult,"According to Michaelson
c = 16fd
c is the speed of light, f is the frequency, d is the distance
c $\propto$ f
Red have minimum wavelength and maximum frequency so red have greater speed.
In terms of ascending order of wavelength
Red, orange , yellow, green, blue",,35,Blue,Yellow,Red,All of these,,,,,3,,,,,,,
" The relationship of magnification of convex lens is",,easy,"We know that
M = d/p
$\mathrm{d}$ is the image size, $\mathrm{p}$ is the object size
\[
\mathrm{M}=\mathrm{q} / \mathrm{p}
\]
$\mathrm{q}$ is the image distance, $\mathrm{p}$ is the object distance
\[
\mathrm{M}=\mathrm{h}_{\mathrm{i}} / \mathrm{h}_{0}
\]
$h_{i}$ is the height of image, $h_{0}$ is the height of object
\[
\mathrm{M}=\beta / \alpha
\]
$\beta$ is the angle made with convex lens, $\alpha$ is the angle formed without convex lens.",,35,\mathrm{h}_{i} / \mathrm{h}_\circ,\beta / \alpha,q/p,All of these,,,,,4,,,,,,,
